"","BASEFLOW","QUICKFLOW"
"847",1.3,0.1
"848",1.301,0.199
"849",1.302,0.198
"850",1.303,0.197
"851",1.303,0.497
"852",1.303,0.197
"853",1.3,0
"854",1.3,0
"855",1.3,0
"856",1.3,0.2
"857",1.302,0.398
"858",1.306,1.594
"859",1.317,1.083
"860",1.332,0.568
"861",1.349,0.551
"862",1.369,1.731
"863",1.393,1.507
"864",1.424,2.676
"865",1.463,1.937
"866",1.507,1.093
"867",1.552,0.948
"868",1.596,1.004
"869",1.642,2.758
"870",1.693,1.907
"871",1.751,3.449
"872",1.816,2.684
"873",1.887,1.613
"874",1.958,1.542
"875",2.029,2.371
"876",2.106,5.594
"877",2.196,3.104
"878",2.294,3.406
"879",2.392,1.708
"880",2.484,3.616
"881",2.568,1.732
"882",2.644,5.856
"883",2.711,3.089
"884",2.768,2.132
"885",2.817,1.283
"886",2.857,1.143
"887",2.89,1.21
"888",2.917,0.783
"889",2.938,5.062
"890",2.954,0.946
"891",2.965,0.635
"892",2.971,0.429
"893",2.975,0.125
"894",2.978,0.422
"895",2.981,0.119
"896",2.982,0.018
"897",2.984,0.316
"898",2.99,2.61
"899",3.001,0.899
"900",3.011,0.489
"901",3.02,0.38
"902",3.027,0.173
"903",3.033,0.367
"904",3.038,0.062
"905",3.044,1.056
"906",3.054,0.746
"907",3.068,2.132
"908",3.101,9.299
"909",3.165,5.535
"910",3.255,3.745
"911",3.355,3.545
"912",3.457,7.343
"913",3.552,8.448
"914",3.636,5.964
"915",3.706,4.594
"916",3.762,4.038
"917",3.803,2.797
"918",3.83,1.97
"919",3.844,1.556
"920",3.844,2.156
"921",3.733,1.267
"922",3.651,0.849
"923",3.586,0.814
"924",3.528,0.672
"925",3.472,1.928
"926",3.415,0.685
"927",3.367,0.533
"928",3.323,1.277
"929",3.279,0.521
"930",3.237,0.563
"931",3.208,0.192
"932",3.2,0
"933",3.201,0.599
"934",3.204,0.296
"935",3.211,1.989
"936",3.223,0.577
"937",3.239,0.361
"938",3.257,1.543
"939",3.285,26.615
"940",3.317,5.383
"941",3.337,2.463
"942",3.343,1.457
"943",3.266,0.734
"944",3.222,0.378
"945",3.204,0.096
"946",3.2,0
"947",3.201,0.599
"948",3.205,1.495
"949",3.219,3.281
"950",3.238,2.762
"951",3.256,2.144
"952",3.271,1.229
"953",3.281,0.719
"954",3.289,0.411
"955",3.293,0.907
"956",3.295,0.105
"957",3.296,0.104
"958",3.296,0.004
"959",3.307,7.793
"960",3.343,2.757
"961",3.394,1.706
"962",3.457,6.943
"963",3.542,6.558
"964",3.646,3.254
"965",3.751,4.549
"966",3.846,2.754
"967",3.933,3.067
"968",4.009,3.291
"969",4.075,3.625
"970",4.131,2.169
"971",4.177,1.323
"972",4.215,1.485
"973",4.244,2.956
"974",4.266,1.034
"975",4.282,0.618
"976",4.293,0.707
"977",4.301,0.799
"978",4.305,0.395
"979",4.306,2.994
"980",4.261,1.639
"981",4.204,1.596
"982",4.137,1.463
"983",4.069,0.831
"984",4.022,0.378
"985",4.004,0.096
"986",4,0
"987",4.002,1.198
"988",4.007,1.593
"989",4.013,0.687
"990",4.018,1.582
"991",4.022,0.678
"992",4.023,0.877
"993",4.008,0.192
"994",4,0
"995",4.005,3.395
"996",4.021,1.479
"997",4.043,0.657
"998",4.066,5.734
"999",4.085,5.915
"1000",4.099,3.901
"1001",4.106,1.494
"1002",4.058,1.042
"1003",3.971,3.329
"1004",3.865,3.735
"1005",3.804,0.096
"1006",3.8,0
"1007",3.801,0.499
"1008",3.809,4.791
"1009",3.832,0.668
"1010",3.861,0.439
"1011",3.895,5.405
"1012",3.942,2.258
"1013",3.995,1.605
"1014",4.042,1.058
"1015",4.085,1.115
"1016",4.124,0.476
"1017",4.161,3.339
"1018",4.194,12.506
"1019",4.221,8.779
"1020",4.238,1.662
"1021",4.245,3.155
"1022",4.127,3.573
"1023",3.966,2.534
"1024",3.803,1.997
"1025",3.661,1.639
"1026",3.549,1.251
"1027",3.5,0
"1028",3.5,0.1
"1029",3.502,0.998
"1030",3.509,1.991
"1031",3.526,2.474
"1032",3.552,1.148
"1033",3.582,1.018
"1034",3.613,0.787
"1035",3.647,2.653
"1036",3.697,8.303
"1037",3.757,4.943
"1038",3.811,3.389
"1039",3.858,2.942
"1040",3.895,1.905
"1041",3.924,2.276
"1042",3.943,1.257
"1043",3.955,1.945
"1044",3.96,0.74
"1045",3.938,0.462
"1046",3.909,0.291
"1047",3.884,0.816
"1048",3.856,0.544
"1049",3.824,0.576
"1050",3.804,0.096
"1051",3.8,0
"1052",3.801,0.399
"1053",3.807,3.393
"1054",3.831,5.669
"1055",3.882,7.718
"1056",3.964,6.936
"1057",4.055,4.945
"1058",4.136,2.864
"1059",4.208,1.992
"1060",4.27,4.73
"1061",4.321,7.679
"1062",4.361,2.639
"1063",4.388,1.912
"1064",4.403,1.397
"1065",4.41,0.99
"1066",4.374,1.426
"1067",4.302,0.798
"1068",4.254,0.446
"1069",4.226,0.274
"1070",4.208,0.192
"1071",4.2,0
"1072",4.203,1.897
"1073",4.237,19.163
"1074",4.333,9.667
"1075",4.456,3.944
"1076",4.567,2.633
"1077",4.666,1.634
"1078",4.755,1.645
"1079",4.835,2.965
"1080",4.905,1.795
"1081",4.966,3.534
"1082",5.017,4.683
"1083",5.058,2.242
"1084",5.088,4.312
"1085",5.107,4.293
"1086",5.107,8.093
"1087",4.905,4.195
"1088",4.677,3.023
"1089",4.46,2.54
"1090",4.271,2.329
"1091",4.082,2.718
"1092",3.901,2.099
"1093",3.748,1.852
"1094",3.618,1.482
"1095",3.514,1.186
"1096",3.426,1.074
"1097",3.338,1.162
"1098",3.248,1.152
"1099",3.167,0.933
"1100",3.096,0.904
"1101",3.03,0.77
"1102",2.972,0.728
"1103",2.917,0.683
"1104",2.87,0.53
"1105",2.831,0.469
"1106",2.797,0.403
"1107",2.768,0.332
"1108",2.745,0.255
"1109",2.729,0.171
"1110",2.715,0.185
"1111",2.704,0.096
"1112",2.7,0
"1113",2.7,0
"1114",2.708,5.692
"1115",2.724,4.376
"1116",2.737,4.063
"1117",2.746,1.554
"1118",2.749,0.951
"1119",2.689,0.711
"1120",2.639,0.561
"1121",2.602,0.398
"1122",2.573,0.327
"1123",2.551,0.249
"1124",2.535,0.165
"1125",2.521,0.179
"1126",2.506,0.794
"1127",2.487,0.413
"1128",2.468,0.232
"1129",2.453,0.147
"1130",2.441,0.159
"1131",2.429,0.171
"1132",2.415,0.185
"1133",2.404,0.096
"1134",2.4,0
"1135",2.4,0
"1136",2.401,0.399
"1137",2.407,3.693
"1138",2.426,1.374
"1139",2.453,1.147
"1140",2.484,2.216
"1141",2.522,2.678
"1142",2.564,2.036
"1143",2.603,1.597
"1144",2.638,1.062
"1145",2.669,0.631
"1146",2.696,0.504
"1147",2.72,0.48
"1148",2.741,0.259
"1149",2.761,1.939
"1150",2.779,3.321
"1151",2.795,2.405
"1152",2.807,1.693
"1153",2.814,1.286
"1154",2.817,0.883
"1155",2.759,1.541
"1156",2.686,1.314
"1157",2.608,0.992
"1158",2.54,0.76
"1159",2.487,0.613
"1160",2.445,0.455
"1161",2.408,0.492
"1162",2.372,0.428
"1163",2.338,0.462
"1164",2.308,0.292
"1165",2.285,0.315
"1166",2.259,0.341
"1167",2.231,0.369
"1168",2.21,0.19
"1169",2.198,0.102
"1170",2.19,0.31
"1171",2.18,0.12
"1172",2.171,0.129
